PromptName,PromptSpeechPrefix,PromptSpeechPostfix,PromptText
PROMPT_SPACE,,, 
PROMPT_POINT,,,PUNTO
PROMPT_0,,,0
PROMPT_1,,,1
PROMPT_2,,,2
PROMPT_3,,,3
PROMPT_4,,,4
PROMPT_5,,,5
PROMPT_6,,,6
PROMPT_7,,,7
PROMPT_8,,,8
PROMPT_9,,,9
PROMPT_A,,,A
PROMPT_B,,,B
PROMPT_C,,,C
PROMPT_D,,,D
PROMPT_E,,,E
PROMPT_F,,,F
PROMPT_G,,,G
PROMPT_H,,,H
PROMPT_I,,,I
PROMPT_J,,,J
PROMPT_K,,,K
PROMPT_L,,,L
PROMPT_M,,,M
PROMPT_N,,,N
PROMPT_O,,,O
PROMPT_P,,,P
PROMPT_Q,,,Q
PROMPT_R,,,R
PROMPT_S,,,S
PROMPT_T,,,T
PROMPT_U,,,U
PROMPT_V,,,V
PROMPT_W,,,W
PROMPT_X,,,X
PROMPT_Y,,,Y
PROMPT_Z,,,Z
PROMPT_Z2,,,Zee
PROMPT_CHANNEL,,,Canale
PROMPT_CONTACT,,,Contatto
PROMPT_MILLISECONDS,,,Millisecondi
PROMPT_MEGAHERTZ,,,MEGAHERTZ
PROMPT_KILOHERTZ,,,KILOHERTZ
PROMPT_TALKGROUP,,,TALKGROUP
PROMPT_TIMESLOT,,,TIMESLOT
PROMPT_VFO,,,VFO
PROMPT_SECONDS,,,Secondi
PROMPT_MINUTES,,,Minuti
PROMPT_VOLTS,,,Volt
PROMPT_WATT,,,Vat
PROMPT_WATTS,,,Vat
PROMPT_MILLIWATTS,,,Millivat
PROMPT_PERCENT,,,Per cento
PROMPT_RECEIVE,,,Riceve
PROMPT_TRANSMIT,,,Trasmette
PROMPT_MODE,,,Modo
PROMPT_DMR,,,D M R
PROMPT_FM,,,F M
PROMPT_PLUS,,,più
PROMPT_MINUS,,,Meno
PROMPT_VFO_EXCHANGE_TX_RX,,,Scambia le frequenze Tx e Rx
PROMPT_VFO_COPY_RX_TO_TX,,,Copia la frequenza di ricezione sulla frequenza di trasmissione
PROMPT_VFO_COPY_TX_TO_RX,,,Copia la frequenza di trasmissione sulla frequenza di ricezione
PROMPT_POWER,,,Potenza
PROMPT_CHANNEL_MODE,,,Modalità canale
PROMPT_SCAN_MODE,,,Modalità scansione
PROMPT_TIMESLOT_MODE,,,Modalità timeslot
PROMPT_FILTER_MODE,,,modalità filtro
PROMPT_ZONE_MODE,,,Modalità zona
PROMPT_POWER_MODE,,,Modalità potenza
PROMPT_COLORCODE_MODE,,,Modalità codice colore
PROMPT_HERTZ,,,HERTZ
PROMPT_SETTINGS_UPDATE,,,Settings update
PROMPT_STAR,,,Star
PROMPT_HASH,,,Hash
PROMPT_VOX,,,Vox
PROMPT_SWEEP_SCAN_MODE,,,Sweep scan mode
PROMPT_ECO_MODE,,,Economy level mode
PROMPT_UNUSED_3,,, 
PROMPT_UNUSED_4,,, 
PROMPT_UNUSED_5,,,
PROMPT_UNUSED_6,,,
PROMPT_UNUSED_7,,, 
PROMPT_UNUSED_8,,, 
PROMPT_UNUSED_9,,, 
PROMPT_UNUSED_10,,, 
LANGUAGE_NAME,,,Italiano
menu,,,Menu
credits,,,Crediti
zone,,,Zone
rssi,,,Segnale
battery,,,Batteria
contacts,,,Contatti
last_heard,,,Ultimi Ricevuti
firmware_info,,,Informazioni
options,,,Opzioni
display_options,,,Opzioni Display
sound_options,,,Opzioni Audio
channel_details,,,Dettagli canale
language,,,Lingua
new_contact,,,Nuovo Contatto
dmr_contacts,,,Lista Contatti
contact_details,,,Dettagli Contatto
hotspot_mode,,,Modo Hotspot
built,,,Versione
zones,,,Zone
keypad,,,Tastiera
ptt,,,P T T
locked,,,Bloccato
press_blue_plus_star,,,Premi Blue + asterisco
to_unlock,,,Per sbloccare
unlocked,,,Sbloccato
power_off,,,Spegnimento
error,,,ERRORE
rx_only,,,Solo ricezione
out_of_band,,,FUORI BANDA
timeout,,,TEMPO SCADUTO
tg_entry,,,Inserisci TG
pc_entry,,,Inserisci contatto privato
user_dmr_id,,,ID Utente D M R
contact,,,Contatto
accept_call,,,Accettare?
private_call,,,Chiamata Privata
squelch,,,Squelch
quick_menu,,,Menu rapido
filter,,,Filtro
all_channels,,,Tutti i canali
gotoChannel,,,Vai a
scan,,,Scansione
channelToVfo,,,Canale a V F O
vfoToChannel,,,V F O a Canale
vfoToNewChannel,,,V F O a nuovo canale
group,,,Gruppo
private,,,Privato
all,,,Tutti
type,,,Tipo
timeSlot,,,Timeslot
none,,,Nessuno
contact_saved,,,Salvato
duplicate,,,Duplicato
tg,,,TG
pc,,,CP
ts,,,TS
mode,,,Modo
colour_code,,,Codice Colore
n_a,,,Non applicato
bandwidth,,,Banda
stepFreq,,,Step
tot,,,TOT
off,,,disattivato
zone_skip,,,Salta Zona
all_skip,,,Salta Tutti
yes,,,SÌ
no,,,No
rx_group,,,Ricezione gruppo
on,,,Attivato
timeout_beep,,,Bip Timeout
list_full,,,The list is full
UNUSED_1,,,
band_limits,,,Limiti Banda
beep_volume,,,Volume Bip
dmr_mic_gain,,,D M R mic gain
fm_mic_gain,,,F M mic gain
key_long,,,tempo pressione tasto
key_repeat,,,tempo ripetizione tasto
dmr_filter_timeout,,,Tempo Filtro
brightness,,,Luminosità
brightness_off,,,Minima luminosità
contrast,,,Contrasto
colour_invert,,,Colore:Invertito
colour_normal,,,Colore:Normale
backlight_timeout,,,Timeout
scan_delay,,,Ritardo Scansione
yes___in_uppercase,,,SÌ
no___in_uppercase,,,NO
DISMISS,,,RIFIUTA
scan_mode,,,Modo Scansione
hold,,,Blocco
pause,,,Pausa
empty_list,,,Lista Vuota
delete_contact_qm,,,Cancellare Contatto?
contact_deleted,,,Cancellato
contact_used,,,Contatto usato
in_rx_group,,,in gruppo RX
select_tx,,,Seleziona TX
edit_contact,,,Modificare Contatto
delete_contact,,,Elimina Contatto
group_call,,,Chiama Gruppo
all_call,,,Chiama Tutti
tone_scan,,,Scansione Toni
low_battery,,,BATTERIA SCARICA
Auto,,,Automatico
manual,,,Manuale
ptt_toggle,,,Auto-PTT
private_call_handling,,,Gestione chiamata privata
stop,,,Fine
